"Сложные капли от аллергии, гайморита или просто насморка",http://www.happy-giraffe.ru/community/33/forum/post/25599/,+,+,,,,,,,,,,,,
Как необходимо разводить «Цефтриаксон»,http://www.happy-giraffe.ru/community/33/forum/post/25669/,+,+,,,,,,,,,,,,
Венолайф: назначение и отзывы,http://www.happy-giraffe.ru/community/33/forum/post/25685/,+,+,,,,,,,,,,,,
Дисменорм: назначение и отзывы,http://www.happy-giraffe.ru/community/33/forum/post/25691/,+,+,,,,,,,,,,,,
Бура с глицерином: назначение и применение,http://www.happy-giraffe.ru/community/33/forum/post/25787/,+,+,,,,,,,,,,,,
«Фемикапс»: особенности и применение,http://www.happy-giraffe.ru/community/33/forum/post/25979/,+,+,,,,,,,,,,,,
Противозачаточный препарат Жанин и отзывы о нем,http://www.happy-giraffe.ru/community/33/forum/post/26003/,+,+,,,,,,,,,,,,
Как использовать вагинальные свечи,http://www.happy-giraffe.ru/community/33/forum/post/26103/,+,+,,,,,,,,,,,,
Какие продукты богаты цинком?,http://www.happy-giraffe.ru/community/33/forum/post/26153/,+,+,,,,,,,,,,,,
Применение синтомициновой эмульсии,http://www.happy-giraffe.ru/community/33/forum/post/26249/,+,+,,,,,,,,,,,,
Отзывы о магнелисе В6,http://www.happy-giraffe.ru/community/33/forum/post/26779/,+,+,,,,,,,,,,,,
Индометацин – противовоспалительные свечи и их применение в гинекологии,http://www.happy-giraffe.ru/community/33/forum/post/26869/,+,+,,,,,,,,,,,,
Эффективны ли свечи индометацин в гинекологии?,http://www.happy-giraffe.ru/community/33/forum/post/26889/,+,+,,,,,,,,,,,,
Применение фолиевой кислоты,http://www.happy-giraffe.ru/community/33/forum/post/26931/,+,+,,,,,,,,,,,,
Помогает ли миндальное масло от растяжек?,http://www.happy-giraffe.ru/community/33/forum/post/27199/,+,+,,,,,,,,,,,,
Что надо знать про экстракт водяного перца?,http://www.happy-giraffe.ru/community/33/forum/post/27219/,+,+,,,,,,,,,,,,
Отзывы о форлаксе,http://www.happy-giraffe.ru/community/33/forum/post/27239/,+,+,,,,,,,,,,,,
От чего лечит ибуклин?,http://www.happy-giraffe.ru/community/33/forum/post/27423/,+,+,,,,,,,,,,,,
Ливарол: молочница побеждена!,http://www.happy-giraffe.ru/community/33/forum/post/27439/,+,+,,,,,,,,,,,,
Возможны ли ингаляции с мирамистином?,http://www.happy-giraffe.ru/community/33/forum/post/28455/,+,+,,,,,,,,,,,,
Кому и как надо употреблять рыбий жир,http://www.happy-giraffe.ru/community/33/forum/post/28481/,+,+,,,,,,,,,,,,
Что такое глиатилин? Отзывы о нём есть?,http://www.happy-giraffe.ru/community/33/forum/post/28558/,+,+,,,,,,,,,,,,
"Выписали декарис, отзывы напугали…",http://www.happy-giraffe.ru/community/33/forum/post/28562/,+,+,,,,,,,,,,,,
Чем полезен отвар шиповника '+ рецепт навскидку,http://www.happy-giraffe.ru/community/33/forum/post/28586/,+,+,,,,,,,,,,,,
Насколько эффективна аминокапроновая кислота при насморке?,http://www.happy-giraffe.ru/community/33/forum/post/28656/,+,+,,,,,,,,,,,,
Интересные сведения о жирорастворимых витаминах,http://www.happy-giraffe.ru/community/33/forum/post/28865/,+,+,,,,,,,,,,,,
Фенибут: отзывы пациентов и советы докторов,http://www.happy-giraffe.ru/community/33/forum/post/29297/,+,+,,,,,,,,,,,,
"Бифидумбактерин: отзывы, правила разведения и приёма – всё, о чём должен знать пациент",http://www.happy-giraffe.ru/community/33/forum/post/29459/,+,+,,,,,,,,,,,,
Отзывы разных людей на «Трибестан»,http://www.happy-giraffe.ru/community/33/forum/post/29885/,+,+,,,,,,,,,,,,
«Регулон»: отзывы мужчин об этом «женском» средстве,http://www.happy-giraffe.ru/community/33/forum/post/29948/,+,+,,,,,,,,,,,,
Лактацид Фемина: для нежных мест,http://www.happy-giraffe.ru/community/33/forum/post/29953/,+,+,,,,,,,,,,,,
«Тержинан»: отзывы,http://www.happy-giraffe.ru/community/33/forum/post/30050/,+,+,,,,,,,,,,,,
«Хофитол»: отзывы различных групп людей,http://www.happy-giraffe.ru/community/33/forum/post/30053/,+,+,,,,,,,,,,,,
«Эреспал»: отзывы зависят от компетентности врача и сознательности пациента,http://www.happy-giraffe.ru/community/33/forum/post/30059/,+,+,,,,,,,,,,,,
Пимафуцин свечи – цена и советы по применению,http://www.happy-giraffe.ru/community/33/forum/post/30084/,+,+,,,,,,,,,,,,
Дифлюкан: отзывы и экспертные комментарии,http://www.happy-giraffe.ru/community/33/forum/post/30495/,+,+,,,,,,,,,,,,
Совместимы ли дюфастон и алкоголь в одном организме?,http://www.happy-giraffe.ru/community/33/forum/post/30512/,+,+,,,,,,,,,,,,
«Трибестан» - цена на просторах отдельных государств,http://www.happy-giraffe.ru/community/33/forum/post/30550/,+,+,,,,,,,,,,,,
"«Кальций Д3 Никомед», отзывы",http://www.happy-giraffe.ru/community/33/forum/post/30556/,+,+,,,,,,,,,,,,
Метадон: мифы и правда о нем,http://www.happy-giraffe.ru/community/33/forum/post/30685/,+,+,,,,,,,,,,,,
«Элькар»: отзывы различных групп людей,http://www.happy-giraffe.ru/community/33/forum/post/30802/,+,+,,,,,,,,,,,,
Гексикон (свечи),http://www.happy-giraffe.ru/community/33/forum/post/30809/,+,+,,,,,,,,,,,,
"Свечи «Клотримазол» – цена, эффективность и способ применения",http://www.happy-giraffe.ru/community/33/forum/post/30828/,+,+,,,,,,,,,,,,
Прогестерон уколы – применять или нет?,http://www.happy-giraffe.ru/community/33/forum/post/31006/,+,+,,,,,,,,,,,,
Полезные и крайне важные витамины для сердца,http://www.happy-giraffe.ru/community/33/forum/post/31356/,+,+,,,,,,,,,,,,
Что такое БАД?,http://www.happy-giraffe.ru/community/33/forum/post/31488/,+,+,,,,,,,,,,,,
Гормональные таблетки – как не растеряться и выбрать правильные?,http://www.happy-giraffe.ru/community/33/forum/post/31665/,+,+,,,,,,,,,,,,
Антибиотики при уреаплазмозе – обязательный компонент эффективного лечения,http://www.happy-giraffe.ru/community/33/forum/post/31704/,+,+,,,,,,,,,,,,
Антибиотики при флюсе: когда и какие можно применять?,http://www.happy-giraffe.ru/community/33/forum/post/31832/,+,+,,,,,,,,,,,,
"Гормональные контрацептивы, или «тяжелое орудие» медицины",http://www.happy-giraffe.ru/community/33/forum/post/31840/,+,+,,,,,,,,,,,,
Капли в уши - подойдут любые?,http://www.happy-giraffe.ru/community/33/forum/post/31843/,+,+,,,,,,,,,,,,
"Сибутрамин запрещён, чтобы не навредить вашему здоровью",http://www.happy-giraffe.ru/community/33/forum/post/31981/,+,+,,,,,,,,,,,,
Последствия применения препарата Постинор: отзывы врачей,http://www.happy-giraffe.ru/community/33/forum/post/31982/,+,+,,,,,,,,,,,,
Посткоитальные контрацептивы – панацея или игра с огнем?,http://www.happy-giraffe.ru/community/33/forum/post/31992/,+,+,,,,,,,,,,,,
L-карнитин: чудо-средство или рекламная пустышка?,http://www.happy-giraffe.ru/community/33/forum/post/31994/,+,+,,,,,,,,,,,,
Выбираете антибиотик при кашле — помните о трех правилах!,http://www.happy-giraffe.ru/community/33/forum/post/32056/,+,+,,,,,,,,,,,,
Артрофоон,http://www.happy-giraffe.ru/community/33/forum/post/32298/,+,+,,,,,,,,,,,,
Венарус как средство от проблем с венами,http://www.happy-giraffe.ru/community/33/forum/post/32323/,+,+,,,,,,,,,,,,
Очень подробно про гормональные мази,http://www.happy-giraffe.ru/community/33/forum/post/32339/,+,+,,,,,,,,,,,,
Противоглистные препараты – когда и какие эффективны?,http://www.happy-giraffe.ru/community/33/forum/post/32598/,+,+,,,,,,,,,,,,
Сибутрамин: панацея или яд?,http://www.happy-giraffe.ru/community/33/forum/post/32758/,+,+,,,,,,,,,,,,
Эскузан – отзывы помогают узнать о нём больше,http://www.happy-giraffe.ru/community/33/forum/post/32761/,+,+,,,,,,,,,,,,
Транексам,http://www.happy-giraffe.ru/community/33/forum/post/32769/,+,+,,,,,,,,,,,,
Действие имудона отзывы пациентов и мнение врачей,http://www.happy-giraffe.ru/community/33/forum/post/32824/,+,+,,,,,,,,,,,,
Противовоспалительные свечи: краткий обзор,http://www.happy-giraffe.ru/community/33/forum/post/32955/,+,+,,,,,,,,,,,,
Алкоголь и антибиотики — возможно ли совмещение?,http://www.happy-giraffe.ru/community/33/forum/post/33292/,+,+,,,,,,,,,,,,
Препарат для печени: как выбрать необходимый,http://www.happy-giraffe.ru/community/33/forum/post/33297/,+,+,,,,,,,,,,,,
Пимафуцин – некоторые нюансы его применения,http://www.happy-giraffe.ru/community/33/forum/post/33316/,+,+,,,,,,,,,,,,
Когда можно принимать Энтеросгель и каковы отзывы о препарате,http://www.happy-giraffe.ru/community/33/forum/post/33390/,+,+,,,,,,,,,,,,
Камистад: инструкция к препарату,http://www.happy-giraffe.ru/community/33/forum/post/33556/,+,+,,,,,,,,,,,,
Структум: отзывы неоднозначные,http://www.happy-giraffe.ru/community/33/forum/post/33565/,+,+,,,,,,,,,,,,
Препарат Изофра: отзывы и мнения,http://www.happy-giraffe.ru/community/33/forum/post/33567/,+,+,,,,,,,,,,,,
Сульфацил натрия в нос? Это же глазные капли!,http://www.happy-giraffe.ru/community/33/forum/post/33604/,+,+,,,,,,,,,,,,
Вильпрафен: отзывы специалистов и пациентов,http://www.happy-giraffe.ru/community/33/forum/post/33631/,+,+,,,,,,,,,,,,
Залаин – грибок не пройдёт!,http://www.happy-giraffe.ru/community/33/forum/post/33696/,+,+,,,,,,,,,,,,
Кавинтон: все о лекарстве,http://www.happy-giraffe.ru/community/33/forum/post/33714/,+,+,,,,,,,,,,,,
Эреспал: механизм действия и клинические исследования переносимости,http://www.happy-giraffe.ru/community/33/forum/post/33721/,+,+,,,,,,,,,,,,
Препараты от молочницы — ТОП 10 самых эффективных средств,http://www.happy-giraffe.ru/community/33/forum/post/33749/,+,+,,,,,,,,,,,,
Когда и как используется Диоксидин в ампулах,http://www.happy-giraffe.ru/community/33/forum/post/33752/,+,+,,,,,,,,,,,,
Изофра: инструкция к лекарству,http://www.happy-giraffe.ru/community/33/forum/post/33772/,+,+,,,,,,,,,,,,
Виардо форте: отзывы и ответы на вопросы,http://www.happy-giraffe.ru/community/33/forum/post/34460/,+,+,,,,,,,,,,,,
Подробно про Виферон мазь,http://www.happy-giraffe.ru/community/33/forum/post/34465/,+,+,,,,,,,,,,,,
Подбираем витамины для женщин после 40 лет,http://www.happy-giraffe.ru/community/33/forum/post/40573/,+,+,,,,,,,,,,,,
Восстановление после антибиотиков: правда и только правда!,http://www.happy-giraffe.ru/community/33/forum/post/41016/,+,+,,,,,,,,,,,,
Какие существуют лекарства от аллергии,http://www.happy-giraffe.ru/community/33/forum/post/41064/,+,+,,,,,,,,,,,,
Рыбий жир в капсулах: как выбрать и учесть побочные эффекты,http://www.happy-giraffe.ru/community/33/forum/post/41415/,+,+,,,,,,,,,,,,
"Все, что нужно знать про мазь от геморроя",http://www.happy-giraffe.ru/community/33/forum/post/41465/,+,+,,,,,,,,,,,,
"Лекарство от аллергии: препараты 1, 2 и 3 поколений",http://www.happy-giraffe.ru/community/33/forum/post/41470/,+,+,,,,,,,,,,,,
Действительно ли необходимы антибиотики при бронхите?,http://www.happy-giraffe.ru/community/33/forum/post/41661/,+,+,,,,,,,,,,,,
Мазь Вишневского: за или против?,http://www.happy-giraffe.ru/community/33/forum/post/41710/,+,+,,,,,,,,,,,,
Почему не нужно спешить принимать лекарства от простуды?,http://www.happy-giraffe.ru/community/33/forum/post/41904/,+,+,,,,,,,,,,,,
Глазные капли: секреты эффективного применения,http://www.happy-giraffe.ru/community/33/forum/post/42253/,+,+,,,,,,,,,,,,
Лекарство от простуды: панацеи не существует,http://www.happy-giraffe.ru/community/33/forum/post/42924/,+,+,,,,,,,,,,,,
Жирное лекарство – барсучий жир от кашля,http://www.happy-giraffe.ru/community/33/forum/post/43017/,+,+,,,,,,,,,,,,
Доигрались… Таблетки от зубной боли,http://www.happy-giraffe.ru/community/33/forum/post/43034/,+,+,,,,,,,,,,,,
Семья витаминов «Компливит» - какие выбрать?,http://www.happy-giraffe.ru/community/33/forum/post/43473/,+,+,,,,,,,,,,,,
Стоит ли принимать «Ксеникал»: отзывы положительные и отрицательные,http://www.happy-giraffe.ru/community/33/forum/post/43531/,+,+,,,,,,,,,,,,
"Димиа: отзывы тех, кто уже попробовал, и комментарии врача к ним",http://www.happy-giraffe.ru/community/33/forum/post/43798/,+,+,,,,,,,,,,,,
Сотворит ли чудо Перфектил?,http://www.happy-giraffe.ru/community/33/forum/post/43824/,+,+,,,,,,,,,,,,
"Жаропонижающие средства: кому, когда, какие?",http://www.happy-giraffe.ru/community/33/forum/post/43905/,+,+,,,,,,,,,,,,
"Мидокалм, инструкция по применению: кому, как и зачем?",http://www.happy-giraffe.ru/community/33/forum/post/43910/,+,+,,,,,,,,,,,,
Что расскажет про «Биопарокс» инструкция?,http://www.happy-giraffe.ru/community/33/forum/post/44735/,+,+,,,,,,,,,,,,
Таблетки от простуды – существуют ли они?,http://www.happy-giraffe.ru/community/33/forum/post/44777/,+,+,,,,,,,,,,,,
Слабительные средства растительного происхождения в борьбе с запорами,http://www.happy-giraffe.ru/community/33/forum/post/44820/,+,+,,,,,,,,,,,,
Витамин рр: влияние на организм человека,http://www.happy-giraffe.ru/community/33/forum/post/44992/,+,+,,,,,,,,,,,,
Готовы почитать про «Индинол» отзывы?,http://www.happy-giraffe.ru/community/33/forum/post/45018/,+,+,,,,,,,,,,,,
"Интересно, какие пишут про «Компливит» отзывы?",http://www.happy-giraffe.ru/community/33/forum/post/45046/,+,+,,,,,,,,,,,,
Кому поможет Мовалис?,http://www.happy-giraffe.ru/community/33/forum/post/45062/,+,+,,,,,,,,,,,,
Ранозаживляющее средство: как выбрать эффективное?,http://www.happy-giraffe.ru/community/33/forum/post/45123/,+,+,,,,,,,,,,,,
Эскапел позволяет в экстренных случаях предохраняться от нежелательной беременности,http://www.happy-giraffe.ru/community/33/forum/post/45342/,+,+,,,,,,,,,,,,
Флюкостат для мужчин: избавление от грибков,http://www.happy-giraffe.ru/community/33/forum/post/45353/,+,+,,,,,,,,,,,,
Вермокс – противоглистный препарат,http://www.happy-giraffe.ru/community/33/forum/post/45378/,+,+,,,,,,,,,,,,
Линкомицин в стоматологии: исцеление воспалительных заболеваний,http://www.happy-giraffe.ru/community/33/forum/post/45384/,+,+,,,,,,,,,,,,
Витамины для глаз: самая основная информация,http://www.happy-giraffe.ru/community/33/forum/post/45406/,+,+,,,,,,,,,,,,
Флуконазол: грибы отступают,http://www.happy-giraffe.ru/community/33/forum/post/45427/,+,+,,,,,,,,,,,,
Амоксициллин убивает инфекцию,http://www.happy-giraffe.ru/community/33/forum/post/45434/,+,+,,,,,,,,,,,,
Липоевая кислота – регулятор обменных процессов,http://www.happy-giraffe.ru/community/33/forum/post/45443/,+,+,,,,,,,,,,,,
Чем сердце успокоится? Подбираем успокоительные средства,http://www.happy-giraffe.ru/community/33/forum/post/45459/,+,+,,,,,,,,,,,,
"Вспомнить все, или Таблетки для памяти",http://www.happy-giraffe.ru/community/33/forum/post/45632/,+,+,,,,,,,,,,,,
Что мы знаем про Тиосульфат натрия,http://www.happy-giraffe.ru/community/33/forum/post/45667/,+,+,,,,,,,,,,,,
Действительно ли необходимы антибиотики при ангине?,http://www.happy-giraffe.ru/community/33/forum/post/45671/,+,+,,,,,,,,,,,,
Успокоительное Тенотен: инструкция поможет разобраться,http://www.happy-giraffe.ru/community/33/forum/post/45677/,+,+,,,,,,,,,,,,
Тиосульфат натрия: очищение — «химчистка для организма»,http://www.happy-giraffe.ru/community/33/forum/post/45680/,+,+,,,,,,,,,,,,
Когда нужно срочно принимать «Бетадин» свечи?,http://www.happy-giraffe.ru/community/33/forum/post/45690/,+,+,,,,,,,,,,,,
Эритромициновая мазь: для чистой кожи и здоровых глаз,http://www.happy-giraffe.ru/community/33/forum/post/45700/,+,+,,,,,,,,,,,,
Сладко-вкусно-полезный гематоген: состав,http://www.happy-giraffe.ru/community/33/forum/post/45767/,+,+,,,,,,,,,,,,
Антибиотики широкого спектра действия – это «волшебные таблетки»?,http://www.happy-giraffe.ru/community/33/forum/post/45941/,+,+,,,,,,,,,,,,
Постинор: нарушает ли он менструальный цикл?,http://www.happy-giraffe.ru/community/33/forum/post/45956/,+,+,,,,,,,,,,,,
7 фактов о препарате «Полижинакс»,http://www.happy-giraffe.ru/community/33/forum/post/45995/,+,+,,,,,,,,,,,,
Трихопол: секреты безопасного использования,http://www.happy-giraffe.ru/community/33/forum/post/46032/,+,+,,,,,,,,,,,,
Милдронат: инструкция по применению с практическими советами,http://www.happy-giraffe.ru/community/33/forum/post/46034/,+,+,,,,,,,,,,,,
Мильгамма - уколы: мифы и правда!,http://www.happy-giraffe.ru/community/33/forum/post/46043/,+,+,,,,,,,,,,,,
"Аевит полезен, но только при лечении!",http://www.happy-giraffe.ru/community/33/forum/post/46052/,+,+,,,,,,,,,,,,
"Узнайте, как принимать витамин Е правильно",http://www.happy-giraffe.ru/community/33/forum/post/46064/,+,+,,,,,,,,,,,,
Алфлутоп: инструкция по применению для правильного использования,http://www.happy-giraffe.ru/community/33/forum/post/46088/,+,+,,,,,,,,,,,,
"Верошпирон – кому, зачем и как назначают?",http://www.happy-giraffe.ru/community/33/forum/post/46108/,+,+,,,,,,,,,,,,
Что надо знать про Детралекс,http://www.happy-giraffe.ru/community/33/forum/post/46126/,+,+,,,,,,,,,,,,
Амоксиклав: инструкция по применению у взрослых и детей,http://www.happy-giraffe.ru/community/33/forum/post/46131/,+,+,,,,,,,,,,,,
Витамин F — первый помощник в поддержании красоты,http://www.happy-giraffe.ru/community/33/forum/post/46136/,+,+,,,,,,,,,,,,
Что надо знать про Канефрон,http://www.happy-giraffe.ru/community/33/forum/post/46149/,+,+,,,,,,,,,,,,
Мексидол: инструкция по применению препарата,http://www.happy-giraffe.ru/community/33/forum/post/46160/,+,+,,,,,,,,,,,,
Контрацептив Клайра: отзывы и популярные вопросы,http://www.happy-giraffe.ru/community/33/forum/post/46166/,+,+,,,,,,,,,,,,
Железо в продуктах питания и в лекарственных препаратах – что лучше?,http://www.happy-giraffe.ru/community/33/forum/post/46682/,+,+,,,,,,,,,,,,
Алфлутоп. Движение – жизнь,http://www.happy-giraffe.ru/community/33/forum/post/46693/,+,+,,,,,,,,,,,,
"Атаракс: не бойся, я с тобой!",http://www.happy-giraffe.ru/community/33/forum/post/46703/,+,+,,,,,,,,,,,,
Баралгин: вся правда,http://www.happy-giraffe.ru/community/33/forum/post/46786/,+,+,,,,,,,,,,,,
Помогает ли «Дюфастон» при эндометриозе?,http://www.happy-giraffe.ru/community/33/forum/post/46809/,+,+,,,,,,,,,,,,
Эндокринол: 5 актуальных «почему»,http://www.happy-giraffe.ru/community/33/forum/post/46810/,+,+,,,,,,,,,,,,
"Все, что нужно знать про Ципролет: антибиотик от многих болезней",http://www.happy-giraffe.ru/community/33/forum/post/47312/,+,+,,,,,,,,,,,,
"Термопсис от кашля: эффективность, проверенная временем",http://www.happy-giraffe.ru/community/33/forum/post/47410/,+,+,,,,,,,,,,,,
Серная мазь: правила использования,http://www.happy-giraffe.ru/community/33/forum/post/47431/,+,+,,,,,,,,,,,,
"Контрактубекс от растяжек избавляет, придавая телу более привлекательный вид",http://www.happy-giraffe.ru/community/33/forum/post/47587/,+,+,,,,,,,,,,,,
Антибиотик Амоксиклав – препарат нового поколения,http://www.happy-giraffe.ru/community/33/forum/post/47601/,+,+,,,,,,,,,,,,
Мильгамма: инструкция по применению,http://www.happy-giraffe.ru/community/33/forum/post/47608/,+,+,,,,,,,,,,,,
"Настойка пиона – спокойствие, только спокойствие!",http://www.happy-giraffe.ru/community/33/forum/post/47656/,+,+,,,,,,,,,,,,
Ципролет – ликвидатор бактерий,http://www.happy-giraffe.ru/community/33/forum/post/48586/,+,+,,,,,,,,,,,,
Может ли навредить синтомициновая мазь?,http://www.happy-giraffe.ru/community/33/forum/post/48696/,+,+,,,,,,,,,,,,
"Алфлутоп: аналоги отсутствуют, но есть равноправные «конкуренты»",http://www.happy-giraffe.ru/community/33/forum/post/48702/,+,+,,,,,,,,,,,,
Можно ли совмещать Афобазол и алкоголь? Какие последствия?,http://www.happy-giraffe.ru/community/33/forum/post/48853/,+,+,,,,,,,,,,,,
Добавка Нормофлорин: инструкция по применению полезных бактерий,http://www.happy-giraffe.ru/community/33/forum/post/48895/,+,+,,,,,,,,,,,,
Для чего нужна фолиевая кислота,http://www.happy-giraffe.ru/community/33/forum/post/48910/,+,+,,,,,,,,,,,,
Дискус композитум в помощь опорно-двигательному аппарату,http://www.happy-giraffe.ru/community/33/forum/post/48915/,+,+,,,,,,,,,,,,
Детралекс - курс лечения зависит от заболевания,http://www.happy-giraffe.ru/community/33/forum/post/48927/,+,+,,,,,,,,,,,,
Бифиформ: инструкция по применению поможет разобраться,http://www.happy-giraffe.ru/community/33/forum/post/48935/,+,+,,,,,,,,,,,,
Биопарокс: инструкция по применению утверждает об его эффективности. На самом деле всё не так просто,http://www.happy-giraffe.ru/community/33/forum/post/48940/,+,+,,,,,,,,,,,,
Витамины для мужчин: перечень самых полезных,http://www.happy-giraffe.ru/community/33/forum/post/49336/,+,+,,,,,,,,,,,,
Витамины для суставов: самая полная и доступная информация,http://www.happy-giraffe.ru/community/33/forum/post/49345/,+,+,,,,,,,,,,,,
Гепариновая мазь помогает лечить варикозное расширение вен и синяки,http://www.happy-giraffe.ru/community/33/forum/post/49408/,+,+,,,,,,,,,,,,
Ярина — инструкция или С заботой о женском здоровье,http://www.happy-giraffe.ru/community/33/forum/post/49424/,+,+,,,,,,,,,,,,
"Ципролет: показания к применению, или 12 врагов антибиотика",http://www.happy-giraffe.ru/community/33/forum/post/49455/,+,+,,,,,,,,,,,,
Мидокалм таблетки: инструкция по применению препарата,http://www.happy-giraffe.ru/community/33/forum/post/49460/,+,+,,,,,,,,,,,,
Систейн глазные капли - скорую помощь вызывали?,http://www.happy-giraffe.ru/community/33/forum/post/49470/,+,+,,,,,,,,,,,,
Никотиновая кислота: применение при лечении заболеваний,http://www.happy-giraffe.ru/community/33/forum/post/49642/,+,+,,,,,,,,,,,,
Нимесил порошок: инструкция по применению препарата,http://www.happy-giraffe.ru/community/33/forum/post/49646/,+,+,,,,,,,,,,,,
Новинет — скажи беременности «нет»!,http://www.happy-giraffe.ru/community/33/forum/post/49649/,+,+,,,,,,,,,,,,
"Актовегин – таблетки, улучшающие качество жизни при тяжёлых заболеваниях",http://www.happy-giraffe.ru/community/33/forum/post/49723/,+,+,,,,,,,,,,,,
Панангин и алкоголь: вместе или врозь,http://www.happy-giraffe.ru/community/33/forum/post/49725/,+,+,,,,,,,,,,,,
Какие контрацептивы нового поколения выбрать для себя?,http://www.happy-giraffe.ru/community/33/forum/post/49734/,+,+,,,,,,,,,,,,
Негормональные противозачаточные таблетки: ТОП 5 популярных средств,http://www.happy-giraffe.ru/community/33/forum/post/49784/,+,+,,,,,,,,,,,,
Таблетки Супрастин при аллергии самые популярные,http://www.happy-giraffe.ru/community/33/forum/post/49999/,+,+,,,,,,,,,,,,
Жанин: побочные эффекты могут быть и приятными,http://www.happy-giraffe.ru/community/33/forum/post/50020/,+,+,,,,,,,,,,,,
Как принимать смекту: полезные советы для всех возрастов,http://www.happy-giraffe.ru/community/33/forum/post/50057/,+,+,,,,,,,,,,,,
Фолиевая кислота для мужчин: несомненная польза для организма,http://www.happy-giraffe.ru/community/33/forum/post/50062/,+,+,,,,,,,,,,,,
Ципрофлоксацин: показания к применению антибиотика,http://www.happy-giraffe.ru/community/33/forum/post/50065/,+,+,,,,,,,,,,,,
Флюкостат от молочницы и алкоголь: взрывоопасная смесь,http://www.happy-giraffe.ru/community/33/forum/post/50621/,+,+,,,,,,,,,,,,
Флуконазол от молочницы — Вопрос-Ответ,http://www.happy-giraffe.ru/community/33/forum/post/50625/,+,+,,,,,,,,,,,,
Самые популярные успокоительные препараты,http://www.happy-giraffe.ru/community/33/forum/post/50631/,+,+,,,,,,,,,,,,
Свечи от беременности - прекрасная альтернатива изделию № 2,http://www.happy-giraffe.ru/community/33/forum/post/50666/,+,+,,,,,,,,,,,,
Сумамед: аналог отличается от оригинала,http://www.happy-giraffe.ru/community/33/forum/post/50667/,+,+,,,,,,,,,,,,
Аевит: показания к применению при разных заболеваниях,http://www.happy-giraffe.ru/community/33/forum/post/50691/,+,+,,,,,,,,,,,,
Мовалис таблетки — это удобно и эффективно!,http://www.happy-giraffe.ru/community/33/forum/post/50770/,+,+,,,,,,,,,,,,
Что надо знать про нестероидные препараты?,http://www.happy-giraffe.ru/community/33/forum/post/50895/,+,+,,,,,,,,,,,,
Молочница. Лечение. Свечи. Как не растеряться и выбрать подходящие именно вам?,http://www.happy-giraffe.ru/community/33/forum/post/50902/,+,+,,,,,,,,,,,,
Цистит: лечение таблетками – быстро и эффективно,http://www.happy-giraffe.ru/community/33/forum/post/50943/,+,+,,,,,,,,,,,,
Дюспаталин: скажи спазмам «нет»!,http://www.happy-giraffe.ru/community/33/forum/post/51015/,+,+,,,,,,,,,,,,
Фурадонин при цистите. Эффективность и действие,http://www.happy-giraffe.ru/community/33/forum/post/51149/,+,+,,,,,,,,,,,,
Салициловая кислота: применение в самых разных целях,http://www.happy-giraffe.ru/community/33/forum/post/51174/,+,+,,,,,,,,,,,,
"3 причины, по которым нельзя сочетать «Редуксин» и алкоголь",http://www.happy-giraffe.ru/community/33/forum/post/51176/,+,+,,,,,,,,,,,,
Что скрывает прилагаемая к препарату «Аципол» инструкция?,http://www.happy-giraffe.ru/community/33/forum/post/51187/,+,+,,,,,,,,,,,,
"Тинидазол: все, что нужно знать, прежде чем начать лечение",http://www.happy-giraffe.ru/community/33/forum/post/51204/,+,+,,,,,,,,,,,,
Нистатин. Свечи бывают разные,http://www.happy-giraffe.ru/community/33/forum/post/51233/,+,+,,,,,,,,,,,,
"7 случаев, когда нужно знать, как правильно принимать активированный уголь",http://www.happy-giraffe.ru/community/33/forum/post/51465/,+,+,,,,,,,,,,,,
Чем Скинорен гель отличается от крема?,http://www.happy-giraffe.ru/community/33/forum/post/51481/,+,+,,,,,,,,,,,,
Алфлутоп: инструкция по применению. Цена достойна результата,http://www.happy-giraffe.ru/community/33/forum/post/51500/,+,+,,,,,,,,,,,,
"Ярина: побочные эффекты, общие и частные",http://www.happy-giraffe.ru/community/33/forum/post/51628/,+,+,,,,,,,,,,,,
«Полижинакс»: свечи универсального действия,http://www.happy-giraffe.ru/community/33/forum/post/51640/,+,+,,,,,,,,,,,,
Принимать ли Жанин при эндометриозе?,http://www.happy-giraffe.ru/community/33/forum/post/51657/,+,+,,,,,,,,,,,,
"Резорцин, салициловая кислота и серная мазь от прыщей",http://www.happy-giraffe.ru/community/33/forum/post/51662/,+,+,,,,,,,,,,,,
Андипал - показания к применению и противопоказания,http://www.happy-giraffe.ru/community/33/forum/post/51676/,+,+,,,,,,,,,,,,
Давление бывает разное. Выбираем лекарство от давления,http://www.happy-giraffe.ru/community/33/forum/post/51693/,+,+,,,,,,,,,,,,
Логест – отличная защита от нежелательной беременности,http://www.happy-giraffe.ru/community/33/forum/post/51703/,+,+,,,,,,,,,,,,
Мазь тетрациклиновая: когда назначается и как используется,http://www.happy-giraffe.ru/community/33/forum/post/51707/,+,+,,,,,,,,,,,,
Мовалис – свечи снимают боль при многих заболеваниях,http://www.happy-giraffe.ru/community/33/forum/post/51777/,+,+,,,,,,,,,,,,
Мидокалм: показания к применению лекарственных ампул,http://www.happy-giraffe.ru/community/33/forum/post/51779/,+,+,,,,,,,,,,,,
Как уролесан помогает почкам и печени,http://www.happy-giraffe.ru/community/33/forum/post/51786/,+,+,,,,,,,,,,,,
